field_or_group,decision,priority,target_source_of_truth,action,reason,notes
publication_pref,safe to remove,high,individual PMPro publication user fields,deprecate legacy unified field and stop using it for primary reads,"The site already has separate PMPro user fields for AAJ, ANAC, ACJ, and Guidebook preferences.","Keep read-only fallback only during transition if older members still have this value."
phone_type,safe to remove,medium,none,remove from profile adapter and Member Database UI if not required,"It is not a PMPro field and does not appear to drive any current membership, Salesforce, or checkout behavior.","If staff still need it, move it to an explicit AAC custom field instead of leaving it ambiguous."
payment_method,safe to remove,high,PMPro/gateway billing records,remove as a profile field source,"Payment method details should come from the active gateway/PMPro billing context, not a stale text field in the profile blob.","Do not use this field for Salesforce sync."
aac_publication_pref,migrate now,high,PMPro individual publication user fields,retain only as a compatibility mirror then phase out,"The unified AAC publication meta conflicts with the newer PMPro individual fields model.","Frontend should stop preferring it once migration is complete."
aac_tshirt_size,migrate now,medium,PMPro user field t_shirt,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Salesforce and Member Database should prefer t_shirt."
aac_birthdate,migrate now,medium,PMPro user field birthdate,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Salesforce and Member Database should prefer birthdate."
aac_email_opt_out,migrate now,medium,PMPro user field email_opt_out,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Salesforce and Member Database should prefer email_opt_out."
aac_do_not_call,migrate now,medium,PMPro user field do_not_call,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Salesforce and Member Database should prefer do_not_call."
aac_do_not_contact,migrate now,medium,PMPro user field do_not_contact,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Salesforce and Member Database should prefer do_not_contact."
aac_aaj_pref,migrate now,medium,PMPro user field aaj_preference,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.","Same pattern applies to other legacy AAC publication mirror keys."
aac_anac_pref,migrate now,medium,PMPro user field anac_preference,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.",""
aac_acj_pref,migrate now,medium,PMPro user field american_climbing_journal_preference,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.",""
aac_guidebook_pref,migrate now,medium,PMPro user field guidebook_preferences,keep as temporary mirror then retire,"PMPro user field already exists and is the cleaner source.",""
address fields,migrate now,high,PMPro core billing/member meta,use only bphone baddress1 baddress2 bcity bstate bzipcode bcountry for persistent reads and writes,"These are already the preferred source and should fully replace duplicate account blob storage.","Member Database can still mirror them, but should not become a competing store."
phone,migrate now,high,PMPro core billing/member meta,use only bphone for persistent reads and writes,"Already aligned to PMPro core fields.",""
birthdate,migrate now,high,PMPro user field birthdate,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
t_shirt,migrate now,high,PMPro user field t_shirt,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
email_opt_out,migrate now,high,PMPro user field email_opt_out,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
do_not_call,migrate now,high,PMPro user field do_not_call,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
do_not_contact,migrate now,high,PMPro user field do_not_contact,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
aaj_preference,migrate now,high,PMPro user field aaj_preference,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
anac_preference,migrate now,high,PMPro user field anac_preference,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
american_climbing_journal_preference,migrate now,high,PMPro user field american_climbing_journal_preference,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
guidebook_preferences,migrate now,high,PMPro user field guidebook_preferences,prefer PMPro field on reads/writes,"Already present as a PMPro user field.",""
member_id,leave in place,high,AAC custom member identifier,keep custom,"Useful AAC-specific identifier and not a native PMPro user field.","Can still sync to Salesforce and display in profile."
membership_level,leave in place,high,PMPro membership state,keep as derived mirror,"This should come from PMPro membership state/tables, not a PMPro user field.","Do not make it user-editable."
membership_status,leave in place,high,PMPro membership state/history,keep as derived mirror,"This should come from PMPro membership state/history, not a PMPro user field.","Do not make it user-editable."
renewal_date,leave in place,high,PMPro membership state/history,keep as derived mirror,"Operational membership lifecycle value, not a PMPro user field.",""
expiration_date,leave in place,high,PMPro membership state/history,keep as derived mirror,"Operational membership lifecycle value, not a PMPro user field.",""
account_role,leave in place,high,AAC custom family-account logic,keep custom,"Parent/child/standard role is AAC-specific and not native to PMPro.","Can still be displayed and synced externally."
photo_url,leave in place,medium,WordPress avatar or AAC custom profile media,keep custom,"Not a PMPro field and may be useful for portal UX.","Avoid storing duplicates if avatar URL is sufficient."
magazine_subscriptions,leave in place,medium,AAC custom add-on selection,keep custom,"AAC magazine add-ons are not a native PMPro profile field set.","Keep if the add-on pricing/selection experience remains AAC-specific."
membership_discount_type,leave in place,medium,AAC custom checkout discount logic,keep custom,"Discount-program state is AAC-specific and not a PMPro core field.","Can still mirror into Member Database and Salesforce."
auto_renew,leave in place,high,PMPro subscription/gateway state,keep as derived field,"This should be derived from current subscription behavior, not a hand-edited profile field.","Do not make Member Database the source."
partner_family_mode,leave in place,high,AAC custom family checkout logic,keep custom,"Not a PMPro-native concept.",""
partner_family_additional_adult,leave in place,high,AAC custom family checkout logic,keep custom,"Not a PMPro-native concept.",""
partner_family_dependents,leave in place,high,AAC custom family checkout logic,keep custom,"Not a PMPro-native concept.",""
family_membership structure,leave in place,high,AAC custom family-account model,keep custom,"Household topology is AAC-specific and broader than PMPro core fields.","Includes mode, additional adult, dependent count."
connected_accounts,leave in place,high,AAC custom linked-accounts model,keep custom,"Not a PMPro-native feature.",""
linked_parent_account,leave in place,high,AAC custom linked-accounts model,keep custom,"Not a PMPro-native feature.",""
benefits_info block,leave in place,high,AAC rescue benefits model,keep custom,"Rescue, medical, and mortal-remains amounts are AAC-specific benefits.",""
grant applications,leave in place,high,AAC Grants Review plugin,keep custom,"Separate domain object and approval workflow.","Should not be moved into PMPro user fields."
membership history mirror,leave in place,high,PMPro membership/history tables,keep as reporting mirror,"Very useful for reporting, Salesforce sync, and historical reconstruction.","Do not treat as the source of truth over PMPro."
subscription mirror,leave in place,high,PMPro subscription tables,keep as reporting mirror,"Very useful for reporting and current-term derivation.","Do not treat as the source of truth over PMPro."
transaction mirror,leave in place,high,PMPro order tables,keep as reporting mirror,"Very useful for reporting and Salesforce transaction sync.","Do not treat as the source of truth over PMPro."
podcast listens,leave in place,medium,AAC custom engagement tracker,keep custom,"Separate engagement dataset unrelated to PMPro.",""
raw_profile snapshot,leave in place,medium,Member Database reporting cache,keep as mirror only,"Useful for audit/reporting/debugging, but should never be the canonical source of truth.","Continue moving live reads away from it where possible."
