source_system,source_entity,source_key_or_field,target_system,target_object,target_field_or_relationship,link_or_sync_type,notes
"WordPress Member Database","Profile snapshot (wp_aac_member_db_profiles)",member_db.profile_row.user_id,Salesforce,Contact,WordPress_User_ID__c,"Outbound external ID upsert","Default Contact sync object and default external ID field."
Salesforce,"Contact inbound webhook","wordpress_user_id / aac_external_key / email","WordPress Member Database","Member profile snapshot","POST /wp-json/aac-salesforce-sync/v1/contact","Inbound update","Used for Salesforce -> WordPress member contact updates."
"WordPress Membership History","wp_aac_member_db_history + profile snapshot","user_id / member_id / membership term fields",Salesforce,Membership_Term__c,AAC_External_Key__c,"Outbound external ID upsert","Membership sync uses the newest mirrored terms and current profile snapshot."
Salesforce,"Membership inbound webhook","wordpress_user_id / aac_external_key / email","WordPress Member Database","Member profile snapshot","POST /wp-json/aac-salesforce-sync/v1/membership","Inbound update","Used for Salesforce -> WordPress membership updates."
Salesforce,Membership_Term__c,"Contact__c / ContactId",Salesforce,Contact,"Lookup relationship","Object relationship","Worker resolves the Contact lookup using the configured contact external ID field and fallbacks such as AAC member ID, WordPress user ID, or email."
Salesforce,Membership_Term__c,Previous_Term__c,Salesforce,Membership_Term__c,"Self lookup to prior term","Object relationship","Connector patches the newest term to point at the next most recent term after upsert."
Salesforce,Membership_Term__c,"Superseded_By__c / Superceded_By__c",Salesforce,Membership_Term__c,"Self lookup to newer term","Object relationship","Connector patches the previous term to point forward to the newest term after upsert."
"WordPress Transactions",wp_aac_member_db_transactions,member_db.transaction_record.id,Salesforce,Payment_Transaction__c,PMPro_Order_ID__c,"Outbound external ID upsert","Transaction rows are outbound-only in the current connector."
"WordPress Grants Review","Grant application + normalized fields",grant.application.review_application_id,Salesforce,Grant_Application__c,Grant_Review_Application_ID__c,"Outbound external ID upsert","Grant sync fields include both core application columns and dynamic grant-builder fields."
Salesforce,Grant_Application__c,"Contact__c / ContactId",Salesforce,Contact,"Lookup relationship","Object relationship","Grant sync can attach the linked Contact using configured contact external ID, plus member ID / user ID / email fallbacks."
