salesforce_sync_group,group_label,wordpress_field_key,wordpress_label,wordpress_source_path,wordpress_type,wordpress_domain,member_db_storage,member_db_table_or_source,member_db_admin_tab,default_salesforce_object_key,default_salesforce_object_label,default_salesforce_object_api_name,default_salesforce_external_id_field,default_salesforce_field_api_name,wordpress_to_salesforce_direction,salesforce_to_wordpress_supported,salesforce_to_wordpress_route,reverse_sync_notes,implementation_notes
contact,Contact,member_db_profile_account_info_aaj_pref,"Member Database Profile: Account Info > Aaj Pref",member_db.profile.account_info.aaj_pref,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_acj_pref,"Member Database Profile: Account Info > Acj Pref",member_db.profile.account_info.acj_pref,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_address2,"Member Database Profile: Account Info > Address2",member_db.profile.account_info.address2,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_anac_pref,"Member Database Profile: Account Info > Anac Pref",member_db.profile.account_info.anac_pref,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_auto_renew,"Member Database Profile: Account Info > Auto Renew",member_db.profile.account_info.auto_renew,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,Auto_Renew__c,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","Mapped by default to both Contact and Membership Term groups in the connector."
contact,Contact,member_db_profile_account_info_birthdate,"Member Database Profile: Account Info > Birthdate",member_db.profile.account_info.birthdate,date,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_city,"Member Database Profile: Account Info > City",member_db.profile.account_info.city,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,MailingCity,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_country,"Member Database Profile: Account Info > Country",member_db.profile.account_info.country,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,MailingCountry,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_do_not_call,"Member Database Profile: Account Info > Do Not Call",member_db.profile.account_info.do_not_call,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_do_not_contact,"Member Database Profile: Account Info > Do Not Contact",member_db.profile.account_info.do_not_contact,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_email,"Member Database Profile: Account Info > Email",member_db.profile.account_info.email,email,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,Email,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
contact,Contact,member_db_profile_account_info_email_opt_out,"Member Database Profile: Account Info > Email Opt Out",member_db.profile.account_info.email_opt_out,boolean,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Preferences,contact,"Primary Contact",Contact,WordPress_User_ID__c,,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.","No default Salesforce field mapping; available in connector for optional mapping."
contact,Contact,member_db_profile_account_info_first_name,"Member Database Profile: Account Info > First Name",member_db.profile.account_info.first_name,string,member_db_profile_payload,"JSON snapshot in raw_profile",wp_aac_member_db_profiles.raw_profile,Profile,contact,"Primary Contact",Contact,WordPress_User_ID__c,FirstName,"WordPress -> Salesforce",Yes,"POST /wp-json/aac-salesforce-sync/v1/contact","Inbound member matching uses wordpress_user_id, aac_external_key, or email.",
